,x4_Av,x13_2fmCon,x4_Gd,BsmtFullBath,FullBath,Fireplaces,OpenPorchSF,LotArea,x9_1.5Fin,isNew,LotFrontage_median,x9_2Story,x5_Grav,x13_Twnhs,x10_PConc,WoodDeckSF,hasGarage,x3_GdWo,firstFlrSF,x7_Inside,x4_No,TotRmsAbvGrd,x10_BrkTil,x7_CulDSac,x12_Y,YearRemodAdd,GarageArea,x6_FuseF,x3_MnPrv,x6_SBrkr,HalfBath
54,0.0,0.0,0.0,0,2,0.0,0.0,7000.0,1.0,False,50.0,0.0,0.0,0.0,0.0,0.0,True,0.0,865.0,0.0,1.0,6.0,1.0,0.0,1.0,56,398.0,0.0,0.0,1.0,0
55,0.0,0.0,0.0,0,1,0.0,0.0,13923.6,1.0,False,59.0,0.0,0.0,0.0,1.0,121.0,True,0.0,872.0,1.0,1.0,8.0,0.0,0.0,1.0,53,300.0,0.0,0.0,1.0,1
56,0.0,0.0,0.0,0,1,1.0,0.0,10434.0,0.0,False,60.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1005.0,1.0,1.0,5.0,0.0,0.0,1.0,54,672.0,0.0,0.0,1.0,0
57,0.0,0.0,0.0,0,1,1.0,0.0,6240.0,1.0,False,52.0,0.0,0.0,0.0,0.0,0.0,True,0.0,959.0,1.0,1.0,6.0,1.0,0.0,1.0,57,560.0,0.0,0.0,0.0,0
58,1.0,0.0,0.0,1,1,1.6,68.0,11777.0,0.0,False,90.4,0.0,0.0,0.0,0.0,160.0,True,0.0,1320.0,1.0,0.0,6.0,0.0,0.0,1.0,40,564.0,0.0,0.0,1.0,0
59,0.0,0.0,0.0,0,2,0.0,25.0,9382.0,0.0,False,90.4,0.0,0.0,0.0,1.0,120.0,True,0.0,1479.0,0.0,1.0,6.0,0.0,1.0,1.0,8,577.0,0.0,0.0,1.0,0
60,0.0,0.0,0.0,0,1,0.0,0.0,9000.0,0.0,False,50.0,1.0,0.0,0.0,1.0,0.0,True,0.0,832.0,1.0,1.0,7.0,0.0,0.0,1.0,21,324.0,0.0,0.0,1.0,0
61,0.0,0.0,1.0,1,1,0.0,0.0,7207.0,0.0,False,50.0,0.0,0.0,0.0,0.0,117.0,False,0.0,858.0,1.0,0.0,4.0,0.0,0.0,1.0,2,0.0,0.0,0.0,1.0,0
62,1.0,0.0,0.0,1,2,1.0,86.0,13923.6,1.0,False,56.0,0.0,0.0,0.0,1.0,273.6,True,0.0,1692.3000000000002,0.0,0.0,8.2,0.0,1.0,1.0,14,666.0,0.0,0.0,1.0,1
63,0.0,0.0,0.0,0,1,0.0,112.0,11414.0,0.0,False,60.0,1.0,0.0,0.0,0.0,273.6,True,0.0,1136.0,0.0,1.0,8.0,1.0,0.0,0.0,16,532.0,0.0,0.0,1.0,0
64,0.0,0.0,0.0,0,2,0.0,30.0,9000.0,0.0,True,75.0,1.0,0.0,0.0,1.0,0.0,True,0.0,786.0,1.0,1.0,6.0,0.0,0.0,1.0,1,676.0,0.0,0.0,1.0,1
65,0.0,0.0,0.0,0,2,0.0,0.0,7910.0,0.0,False,70.0,0.0,0.0,0.0,0.0,0.0,True,1.0,1507.0,1.0,1.0,7.0,0.0,0.0,1.0,48,404.0,0.0,0.0,1.0,0
66,0.0,0.0,0.0,0,1,0.0,46.0,12354.0,1.0,False,67.0,0.0,0.0,0.0,0.0,0.0,True,0.0,684.0,0.0,0.0,7.0,1.0,0.0,1.0,9,528.0,0.0,0.0,1.0,0
67,0.0,0.0,0.0,0,1,0.0,0.0,8125.0,0.0,False,70.0,0.0,0.0,0.0,0.0,0.0,False,0.0,858.0,0.0,1.0,5.0,0.0,0.0,1.0,35,0.0,0.0,0.0,1.0,0
68,0.0,0.0,0.0,0,2,1.0,72.0,8530.0,0.0,False,70.0,0.0,0.0,0.0,1.0,120.0,True,0.0,804.0,1.0,1.0,7.0,0.0,0.0,1.0,13,400.0,0.0,0.0,1.0,1
69,0.0,0.0,0.0,1,1,0.0,96.0,5436.0,1.0,False,40.0,0.0,0.0,0.0,0.0,0.0,True,0.0,796.0,1.0,1.0,7.0,1.0,0.0,1.0,3,240.0,0.0,1.0,1.0,0
70,1.0,0.0,0.0,0,1,0.0,0.0,10500.0,0.0,False,70.0,0.0,0.0,0.0,0.0,35.0,True,1.0,576.0,0.0,0.0,5.0,0.0,0.0,1.0,2,288.0,0.0,0.0,1.0,0
71,0.0,0.0,0.0,0,2,1.0,0.0,11900.0,0.0,False,85.0,0.0,0.0,0.0,0.0,192.0,True,0.0,1411.0,1.0,1.0,6.0,0.0,0.0,1.0,32,544.0,0.0,0.0,1.0,0
72,0.0,0.0,0.0,0,3,1.0,98.0,10192.0,0.0,False,90.4,0.0,0.0,0.0,0.0,0.0,True,0.0,1222.0,1.0,1.0,8.0,0.0,0.0,1.0,14,487.0,0.0,0.0,1.0,0
74,0.0,0.0,0.0,0,1,1.0,0.0,12342.0,0.0,False,70.0,0.0,0.0,0.0,0.0,0.0,True,1.0,1422.0,1.0,1.0,6.0,0.0,0.0,1.0,29,286.0,0.0,0.0,1.0,0
75,1.0,0.0,0.0,0,0,1.0,16.0,3922.0,0.0,True,53.0,0.0,0.0,0.0,1.0,120.0,True,0.0,1402.0,1.0,0.0,7.0,0.0,0.0,1.0,0,648.0,0.0,0.0,1.0,2
76,1.0,0.0,0.0,1,1,1.6,0.0,9600.0,0.0,False,80.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1520.0,1.0,0.0,7.0,0.0,0.0,1.0,38,364.0,0.0,0.0,1.0,0
77,1.0,0.0,0.0,1,2,1.0,72.0,13923.6,0.0,False,70.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1692.3000000000002,0.0,0.0,8.2,0.0,0.0,1.0,32,665.0,0.0,0.0,1.0,0
78,0.0,0.0,1.0,0,2,0.0,0.0,13923.6,0.0,False,70.0,1.0,0.0,0.0,1.0,273.6,True,0.0,1160.0,0.0,0.0,7.0,0.0,1.0,1.0,42,538.0,0.0,0.0,1.0,1
79,1.0,0.0,0.0,1,1,1.0,28.0,9600.0,0.0,False,80.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1661.0,1.0,0.0,8.0,0.0,0.0,1.0,12,377.0,0.0,1.0,1.0,0
80,0.0,0.0,0.0,1,1,1.6,0.0,9600.0,0.0,False,80.0,0.0,0.0,0.0,0.0,110.0,True,0.0,1644.0,1.0,1.0,7.0,0.0,0.0,1.0,56,418.0,0.0,0.0,1.0,0
82,0.0,0.0,0.0,0,2,0.0,112.0,6600.0,0.0,False,60.0,1.0,0.0,0.0,0.0,0.0,True,0.0,1378.0,0.0,1.0,8.2,0.0,0.0,0.0,44,432.0,0.0,0.0,1.0,0
83,0.0,0.0,0.0,0,2,1.0,81.0,9554.0,0.0,False,80.0,1.0,0.0,0.0,1.0,182.0,True,0.0,1065.0,1.0,1.0,8.0,0.0,0.0,1.0,12,471.0,0.0,0.0,1.0,1
84,0.0,0.0,0.0,0,1,0.0,0.0,8593.0,0.0,False,77.0,0.0,0.0,0.0,0.0,0.0,True,0.0,907.0,1.0,1.0,5.0,0.0,0.0,1.0,51,352.0,0.0,0.0,1.0,0
85,0.0,0.0,0.0,1,1,0.0,0.0,5868.0,0.0,False,74.0,0.0,0.0,0.0,0.0,0.0,True,0.0,936.0,1.0,1.0,4.0,0.0,0.0,1.0,10,308.0,0.0,0.0,1.0,0
86,0.0,0.0,0.0,0,1,0.0,0.0,6960.0,0.0,False,60.0,0.0,0.0,0.0,0.0,96.0,True,0.0,864.0,1.0,1.0,5.0,0.0,0.0,1.0,39,660.0,0.0,0.0,1.0,0
87,0.0,0.0,0.0,0,1,0.0,0.0,7800.0,0.0,False,66.0,0.0,0.0,0.0,0.0,0.0,True,0.0,912.0,1.0,1.0,5.0,0.0,0.0,1.0,42,288.0,0.0,0.0,1.0,0
88,0.0,0.0,0.0,0,2,0.0,0.0,13101.0,0.0,False,74.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1692.3000000000002,1.0,1.0,8.2,0.0,0.0,1.0,43,576.0,0.0,0.0,1.0,0
89,0.0,0.0,0.0,0,2,1.0,78.0,10440.0,0.0,False,60.0,1.0,0.0,0.0,1.0,70.0,True,0.0,958.0,1.0,1.0,8.0,0.0,0.0,1.0,6,686.0,0.0,0.0,1.0,0
90,1.0,0.0,0.0,1,2,0.0,36.0,9100.0,0.0,False,70.0,0.0,0.0,0.0,1.0,219.0,True,0.0,1525.0,1.0,0.0,6.0,0.0,0.0,1.0,6,541.0,0.0,0.0,1.0,0
91,0.0,0.0,0.0,1,2,0.0,25.0,11475.0,0.0,False,85.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1692.3000000000002,0.0,1.0,8.2,0.0,0.0,1.0,51,728.05,0.0,0.0,1.0,0
94,0.0,0.0,0.0,0,2,1.0,0.0,7892.0,0.0,False,55.0,0.0,0.0,0.0,0.0,28.0,True,0.0,918.0,1.0,1.0,5.0,0.0,0.0,1.0,31,264.0,0.0,0.0,1.0,0
97,0.0,0.0,0.0,1,1,1.0,0.0,8877.0,0.0,False,67.0,0.0,0.0,0.0,0.0,0.0,True,0.0,816.0,1.0,0.0,3.0,0.0,0.0,1.0,51,288.0,0.0,0.0,1.0,0
98,0.0,1.0,0.0,0,1,1.0,0.0,10120.0,0.0,False,60.0,0.0,0.0,0.0,0.0,0.0,True,0.0,964.0,1.0,1.0,8.2,0.0,0.0,0.0,57,308.0,1.0,1.0,0.0,1
99,0.0,0.0,0.0,1,2,1.0,69.0,8012.0,0.0,False,50.0,0.0,0.0,0.0,1.0,0.0,True,0.0,1617.0,1.0,1.0,5.0,0.0,0.0,1.0,14,533.0,0.0,0.0,1.0,0
100,0.0,0.0,0.0,0,1,1.0,24.0,2665.0,0.0,False,70.0,1.0,0.0,0.0,1.0,141.0,True,0.0,616.0,1.0,0.0,4.0,0.0,0.0,1.0,32,336.0,0.0,0.0,1.0,1
101,0.0,0.0,0.0,0,1,0.0,0.0,9600.0,0.0,False,80.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1164.0,1.0,1.0,6.0,0.0,0.0,1.0,37,528.0,0.0,0.0,1.0,1
102,0.0,0.0,0.0,1,1,0.0,0.0,7350.0,0.0,False,60.0,0.0,0.0,0.0,0.0,0.0,True,0.0,952.0,0.0,0.0,4.0,0.0,0.0,1.0,57,728.05,0.0,0.0,1.0,0
103,0.0,0.0,0.0,0,2,1.0,40.0,9636.0,0.0,False,70.0,1.0,0.0,0.0,1.0,273.6,True,0.0,808.0,0.0,1.0,7.0,0.0,0.0,1.0,16,389.0,0.0,1.0,1.0,1
104,0.0,0.0,0.0,0,2,0.0,81.0,13923.6,0.0,False,58.0,1.0,0.0,0.0,1.0,0.0,True,0.0,1195.0,0.0,1.0,7.0,0.0,1.0,1.0,12,486.0,0.0,0.0,1.0,1
105,0.0,0.0,0.0,0,2,0.0,50.0,8125.0,0.0,True,65.0,1.0,0.0,0.0,1.0,0.0,True,0.0,778.0,1.0,1.0,6.0,0.0,0.0,1.0,0,614.0,0.0,0.0,1.0,1
106,0.0,0.0,0.0,0,2,1.0,0.0,13923.6,1.0,False,90.4,0.0,0.0,0.0,0.0,0.0,True,0.0,720.0,1.0,1.0,7.0,0.0,0.0,1.0,58,312.0,0.0,0.0,1.0,0
107,0.0,0.0,0.0,0,1,0.0,0.0,9571.0,0.0,False,68.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1276.0,1.0,1.0,5.0,0.0,0.0,1.0,51,350.0,0.0,0.0,0.0,0
108,0.0,0.0,0.0,0,1,0.0,0.0,10625.0,0.0,False,85.0,0.0,0.0,0.0,0.0,0.0,True,0.0,835.0,0.0,1.0,5.0,1.0,0.0,0.0,60,366.0,0.0,0.0,1.0,0
109,0.0,1.0,0.0,1,2,0.0,112.0,5687.0,0.0,False,55.0,1.0,0.0,0.0,1.0,0.0,False,0.0,936.0,1.0,1.0,8.2,0.0,0.0,0.0,8,0.0,0.0,0.0,1.0,0
110,0.0,0.0,0.0,1,2,0.0,112.0,9303.0,0.0,False,70.0,1.0,0.0,0.0,1.0,144.0,True,0.0,888.0,0.0,1.0,7.0,0.0,0.0,1.0,10,422.0,0.0,0.0,1.0,1
111,0.0,0.0,0.0,1,2,1.6,54.0,13923.6,0.0,False,90.4,0.0,0.0,0.0,0.0,0.0,True,1.0,1692.3000000000002,1.0,1.0,6.0,0.0,0.0,1.0,13,484.0,0.0,0.0,1.0,0
112,0.0,0.0,0.0,0,2,0.0,0.0,11120.0,0.0,False,70.0,0.0,0.0,0.0,1.0,0.0,True,0.0,1232.0,0.0,1.0,6.0,0.0,1.0,1.0,24,516.0,0.0,0.0,1.0,0
113,1.0,0.0,0.0,1,1,0.0,0.0,9069.0,0.0,False,73.0,0.0,0.0,0.0,1.0,120.0,True,0.0,996.0,1.0,0.0,5.0,0.0,0.0,1.0,18,564.0,0.0,0.0,1.0,0
114,1.0,1.0,0.0,1,1,0.0,112.0,9873.0,0.0,False,60.0,0.0,0.0,0.0,0.0,0.0,True,0.0,960.0,1.0,0.0,6.0,0.0,0.0,0.0,36,576.0,0.0,0.0,1.0,0
115,0.0,1.0,0.0,0,2,1.0,0.0,10800.0,1.0,False,60.0,0.0,0.0,0.0,0.0,142.0,True,0.0,1692.3000000000002,0.0,1.0,8.2,0.0,0.0,0.0,36,520.0,0.0,0.0,0.0,0
116,1.0,0.0,0.0,1,1,1.0,112.0,7838.0,0.0,False,68.0,0.0,0.0,0.0,0.0,175.0,True,0.0,900.0,1.0,0.0,6.0,0.0,0.0,1.0,39,288.0,0.0,0.0,1.0,0
117,0.0,0.0,0.0,1,1,0.0,48.0,7930.0,0.0,False,61.0,0.0,0.0,0.0,0.0,171.0,True,0.0,1026.0,1.0,1.0,5.0,0.0,0.0,1.0,4,440.0,0.0,0.0,1.0,0
118,0.0,0.0,0.0,1,1,0.0,64.0,7024.0,0.0,True,60.0,0.0,0.0,0.0,1.0,252.0,True,0.0,1132.0,1.0,1.0,5.0,0.0,0.0,1.0,3,451.0,0.0,0.0,1.0,1
119,0.0,0.0,0.0,0,2,1.0,45.0,9375.0,0.0,True,75.0,1.0,0.0,0.0,1.0,140.0,True,0.0,1053.0,1.0,1.0,8.2,0.0,0.0,1.0,4,648.0,0.0,0.0,1.0,1
120,0.0,0.0,0.0,0,2,1.0,72.0,10237.0,0.0,True,65.0,1.0,0.0,0.0,1.0,0.0,True,0.0,783.0,1.0,1.0,8.0,0.0,0.0,1.0,0,393.0,0.0,0.0,1.0,1
121,0.0,0.0,0.0,0,2,0.0,40.0,3363.0,0.0,True,32.0,1.0,0.0,0.0,1.0,0.0,True,0.0,976.0,1.0,1.0,7.0,0.0,0.0,1.0,2,380.0,0.0,0.0,1.0,0
122,0.0,0.0,0.0,1,2,0.0,0.0,9100.0,0.0,False,70.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1692.3000000000002,1.0,1.0,8.2,0.0,0.0,1.0,43,504.0,0.0,0.0,1.0,0
123,1.0,0.0,0.0,1,1,1.0,0.0,13923.6,0.0,False,36.0,0.0,0.0,0.0,0.0,0.0,True,0.0,864.0,0.0,0.0,5.0,0.0,1.0,1.0,37,338.0,0.0,0.0,1.0,0
124,0.0,0.0,0.0,0,2,1.0,0.0,13923.6,0.0,False,70.0,0.0,0.0,0.0,0.0,240.0,True,0.0,1602.0,0.0,1.0,8.0,0.0,0.0,1.0,9,529.0,0.0,0.0,1.0,0
125,0.0,0.0,0.0,1,2,0.0,112.0,4500.0,0.0,False,32.0,0.0,0.0,0.0,1.0,0.0,True,0.0,1337.0,0.0,1.0,5.0,0.0,0.0,1.0,8,405.0,0.0,0.0,1.0,0
126,1.0,0.0,0.0,1,0,0.0,0.0,9000.0,0.0,False,50.0,0.0,0.0,0.0,0.0,0.0,True,0.0,480.0,1.0,0.0,4.0,0.0,0.0,0.0,56,308.0,0.0,0.0,0.0,0
127,0.0,0.0,1.0,1,1,1.0,0.0,13923.6,0.0,False,90.4,0.0,0.0,0.0,0.0,0.0,True,1.0,1382.0,0.0,0.0,6.0,0.0,0.0,1.0,47,728.05,0.0,0.0,1.0,0
129,0.0,0.0,0.0,1,1,1.0,0.0,10800.0,0.0,False,60.0,0.0,0.0,0.0,0.0,229.0,True,0.0,1130.0,1.0,1.0,5.0,1.0,0.0,1.0,56,720.0,0.0,0.0,1.0,0
130,0.0,0.0,0.0,0,2,0.0,22.0,10420.0,0.0,True,83.0,0.0,0.0,0.0,1.0,100.0,True,0.0,1212.0,0.0,0.0,6.0,0.0,0.0,1.0,1,460.0,0.0,0.0,1.0,0
